Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
    Badlands NP,BADL1,  OCf,     43.74,   -101.94,    736.00,      0.59,      0.39,      0.53,      0.53,      0.47,      1.00,      1.14,      1.22,      1.07,      0.80,      0.51,      0.50,      0.37,      0.10,      0.43,      0.23,      0.26,      0.47,      0.41,      0.49,      0.46,      0.38,      0.29,      0.26,
    Badlands NP,BADL1, NO3f,     43.74,   -101.94,    736.00,      0.66,      0.46,      0.52,      0.23,      0.16,      0.10,      0.11,      0.09,      0.13,      0.19,      0.21,      0.34,      0.50,      0.28,      0.58,      0.16,      0.10,      0.05,      0.06,      0.03,      0.10,      0.13,      0.20,      0.35,
    Badlands NP,BADL1, SO4f,     43.74,   -101.94,    736.00,      0.98,      0.80,      0.97,      1.01,      0.74,      0.95,      0.93,      0.96,      1.25,      0.92,      0.67,      0.60,      0.52,      0.48,      0.84,      0.43,      0.43,      0.58,      0.42,      0.55,      0.98,      0.62,      0.37,      0.58,
    Mount Baldy,BALD1, NH4f,     34.06,   -109.44,   2508.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
    Mount Baldy,BALD1,  ECf,     34.06,   -109.44,   2508.00,      0.07,      0.06,      0.09,      0.08,      0.13,      0.17,      0.23,      0.15,      0.13,      0.15,      0.14,      0.31,      0.05,      0.03,      0.03,      0.03,      0.10,      0.09,      0.13,      0.04,      0.05,      0.03,      0.09,      0.35,
    Mount Baldy,BALD1,  OCf,     34.06,   -109.44,   2508.00,      0.26,      0.17,      0.36,      0.36,      0.77,      0.86,      1.19,      0.70,      0.54,      0.56,      0.49,      1.93,      0.21,      0.10,      0.08,      0.17,      0.72,      0.73,      0.62,      0.14,      0.21,      0.14,      0.27,      2.95,
    Mount Baldy,BALD1, NO3f,     34.06,   -109.44,   2508.00,      0.05,      0.08,      0.23,      0.18,      0.21,      0.16,      0.11,      0.05,      0.06,      0.08,      0.05,      0.09,      0.04,      0.07,      0.21,      0.08,      0.09,      0.09,      0.05,      0.05,      0.05,      0.04,      0.04,      0.08,
    Mount Baldy,BALD1, SO4f,     34.06,   -109.44,   2508.00,      0.31,      0.35,      0.54,      0.74,      1.02,      1.12,      0.84,      0.89,      1.04,      0.87,      0.71,      0.16,      0.22,      0.25,      0.22,      0.27,      0.34,      0.46,      0.23,      0.35,      0.54,      0.49,      0.94,      0.05,
      Baltimore,BALT1, NH4f,     78.00,      6.00,      6.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Baltimore,BALT1,  ECf,     78.00,      6.00,      6.00,      1.03,      1.10,      0.52,      0.57,      0.64,      0.84,      0.96,      1.05,      0.89,      0.70,      1.42,      0.95,      0.46,      0.79,      0.24,      0.32,      0.24,      0.42,      0.45,      0.27,      0.51,      0.44,      1.00,      0.64,
