Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
Mount Zirkel Wi,MOZI1,  ECf,     40.54,   -106.68,   3243.00,      0.02,      0.12,      0.06,      0.08,      0.06,      0.11,      0.14,      0.12,      0.08,      0.08,      0.06,      0.05,      0.01,      0.10,      0.05,      0.04,      0.03,      0.07,      0.04,      0.06,      0.02,      0.03,      0.04,      0.03,
Mount Zirkel Wi,MOZI1,  OCf,     40.54,   -106.68,   3243.00,      0.15,      0.37,      0.27,      0.34,      0.27,      0.65,      1.21,      0.79,      0.55,      0.40,      0.22,      0.17,      0.08,      0.35,      0.17,      0.13,      0.19,      0.41,      0.42,      0.35,      0.18,      0.16,      0.11,      0.08,
Mount Zirkel Wi,MOZI1, NO3f,     40.54,   -106.68,   3243.00,      0.07,      0.19,      0.22,      0.19,      0.12,      0.09,      0.08,      0.08,      0.11,      0.10,      0.07,      0.09,      0.06,      0.24,      0.15,      0.09,      0.07,      0.04,      0.02,      0.04,      0.05,      0.08,      0.03,      0.07,
Mount Zirkel Wi,MOZI1, SO4f,     40.54,   -106.68,   3243.00,      0.20,      0.27,      0.43,      0.73,      0.70,      0.74,      0.69,      0.62,      0.56,      0.40,      0.32,      0.17,      0.12,      0.15,      0.19,      0.31,      0.35,      0.37,      0.18,      0.27,      0.16,      0.19,      0.17,      0.10,
    Nebraska NF,NEBR1, NH4f,    883.00,      7.00,      7.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
    Nebraska NF,NEBR1,  ECf,    883.00,      7.00,      7.00,      0.16,      0.11,      0.18,      0.15,      0.12,      0.17,      0.25,      0.25,      0.23,      0.21,      0.25,      0.14,      0.07,      0.05,      0.22,      0.09,      0.05,      0.07,      0.13,      0.11,      0.14,      0.09,      0.37,      0.11,
    Nebraska NF,NEBR1,  OCf,    883.00,      7.00,      7.00,      0.58,      0.31,      0.70,      0.73,      0.41,      0.85,      1.27,      1.14,      1.24,      0.88,      0.78,      0.45,      0.26,      0.13,      0.88,      0.66,      0.21,      0.43,      0.36,      0.48,      0.69,      0.46,      0.84,      0.34,
    Nebraska NF,NEBR1, NO3f,    883.00,      7.00,      7.00,      1.68,      1.53,      1.63,      0.66,      0.44,      0.18,      0.18,      0.28,      0.27,      0.42,      0.45,      0.93,      1.40,      1.13,      2.26,      0.57,      0.45,      0.12,      0.12,      0.24,      0.24,      0.41,      0.67,      1.84,
    Nebraska NF,NEBR1, SO4f,    883.00,      7.00,      7.00,      1.36,      0.93,      1.09,      1.39,      0.95,      1.03,      1.66,      1.62,      1.97,      1.10,      0.66,      0.73,      0.87,      0.59,      1.01,      0.98,      0.47,      0.58,      1.40,      1.13,      2.10,      0.73,      0.44,      1.15,
  New York City,NEYO1, NH4f,     45.00,     45.00,     45.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
  New York City,NEYO1,  ECf,     45.00,     45.00,     45.00,      1.51,      1.77,      1.71,      1.52,      1.19,      2.04,      1.59,      1.79,      1.59,      1.30,      2.11,      1.59,      0.54,      0.88,      0.97,      1.01,      0.34,      0.75,      0.62,      0.57,      0.84,      0.61,      1.01,      0.71,
  New York City,NEYO1,  OCf,     45.00,     45.00,     45.00,      2.12,      2.10,      1.66,      1.92,      1.40,      2.54,      2.58,      2.44,      1.88,      1.62,      3.00,      2.16,      0.65,      1.20,      0.72,      1.28,      0.45,      1.27,      1.34,      1.29,      0.72,      1.00,      1.97,      1.11,
  New York City,NEYO1, NO3f,     45.00,     45.00,     45.00,      2.53,      3.02,      3.17,      2.69,      1.69,      1.91,      0.79,      1.00,      0.59,      1.02,      3.07,      3.22,      0.95,      2.81,      2.62,      2.28,      1.43,      1.00,      0.68,      0.42,      0.37,      1.00,      2.44,      2.10,
  New York City,NEYO1, SO4f,     45.00,     45.00,     45.00,      3.70,      3.53,      3.56,      3.62,      3.07,      6.39,      6.96,      8.61,      4.38,      2.14,      3.46,      3.51,      1.36,      1.39,      1.28,      2.47,      1.55,      3.18,      5.62,      5.84,      5.90,      1.41,      1.95,      1.03,
 North Absaroka,NOAB1, NH4f,     44.74,   -109.38,   2482.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 North Absaroka,NOAB1,  ECf,     44.74,   -109.38,   2482.00,      0.04,      0.03,      0.04,      0.07,      0.07,      0.08,      0.12,      0.16,      0.12,      0.10,      0.04,      0.06,      0.03,      0.03,      0.02,      0.03,      0.05,      0.04,      0.04,      0.05,      0.09,      0.05,      0.02,      0.06,
 North Absaroka,NOAB1,  OCf,     44.74,   -109.38,   2482.00,      0.20,      0.22,      0.23,      0.29,      0.35,      0.37,      1.05,      1.23,      0.77,      0.48,      0.19,      0.21,      0.14,      0.13,      0.10,      0.13,      0.26,      0.33,      0.44,      0.36,      0.53,      0.22,      0.10,      0.27,
 North Absaroka,NOAB1, NO3f,     44.74,   -109.38,   2482.00,      0.16,      0.24,      0.12,      0.21,      0.11,      0.05,      0.05,      0.07,      0.07,      0.08,      0.05,      0.14,      0.16,      0.33,      0.08,      0.13,      0.13,      0.04,      0.01,      0.03,      0.04,      0.06,      0.06,      0.28,
 North Absaroka,NOAB1, SO4f,     44.74,   -109.38,   2482.00,      0.32,      0.24,      0.34,      0.59,      0.51,      0.41,      0.39,      0.42,      0.45,      0.33,      0.22,      0.22,      0.18,      0.11,      0.17,      0.29,      0.32,      0.34,      0.10,      0.11,      0.24,      0.17,      0.13,      0.32,
 North Cascades,NOCA1, NH4f,     48.73,   -121.06,    568.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 North Cascades,NOCA1,  ECf,     48.73,   -121.06,    568.00,      0.06,      0.04,      0.06,      0.10,      0.13,      0.12,      0.14,      0.21,      0.12,      0.09,      0.05,      0.06,      0.06,      0.04,      0.04,      0.09,      0.08,      0.08,      0.07,      0.09,      0.05,      0.07,      0.05,      0.05,
 North Cascades,NOCA1,  OCf,     48.73,   -121.06,    568.00,      0.31,      0.30,      0.30,      0.45,      0.69,      0.58,      0.67,      1.23,      0.52,      0.48,      0.21,      0.27,      0.29,      0.19,      0.18,      0.42,      0.58,      0.40,      0.39,      0.65,      0.23,      0.45,      0.12,      0.25,
 North Cascades,NOCA1, NO3f,     48.73,   -121.06,    568.00,      0.09,      0.03,      0.06,      0.09,      0.12,      0.11,      0.12,      0.10,      0.13,      0.04,      0.02,      0.03,      0.10,      0.02,      0.04,      0.05,      0.15,      0.14,      0.12,      0.06,      0.11,      0.04,      0.03,      0.04,
 North Cascades,NOCA1, SO4f,     48.73,   -121.06,    568.00,      0.31,      0.23,      0.40,      0.55,      0.74,      0.59,      0.69,      0.84,      0.55,      0.22,      0.17,      0.16,      0.19,      0.08,      0.29,      0.36,      0.40,      0.30,      0.36,      0.46,      0.32,      0.14,      0.08,      0.18,
Northern Cheyen,NOCH1, NH4f,     45.65,   -106.56,   1283.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Northern Cheyen,NOCH1,  ECf,     45.65,   -106.56,   1283.00,      0.12,      0.07,      0.06,      0.10,      0.07,      0.14,      0.16,      0.22,      0.16,      0.13,      0.07,      0.28,      0.07,      0.03,      0.05,      0.04,      0.04,      0.11,      0.05,      0.16,      0.07,      0.06,      0.04,      0.53,
Northern Cheyen,NOCH1,  OCf,     45.65,   -106.56,   1283.00,      0.37,      0.26,      0.25,      0.35,      0.33,      0.98,      1.08,      1.70,      1.02,      0.67,      0.29,      0.64,      0.25,      0.15,      0.16,      0.15,      0.19,      1.05,      0.32,      1.10,      0.53,      0.34,      0.16,      1.15,
Northern Cheyen,NOCH1, NO3f,     45.65,   -106.56,   1283.00,      0.26,      0.45,      0.39,      0.14,      0.10,      0.09,      0.07,      0.07,      0.14,      0.16,      0.11,      0.14,      0.18,      0.51,      0.77,      0.05,      0.07,      0.06,      0.03,      0.04,      0.14,      0.15,      0.14,      0.25,
Northern Cheyen,NOCH1, SO4f,     45.65,   -106.56,   1283.00,      0.66,      0.51,      0.67,      0.70,      0.69,      0.85,      0.77,      0.60,      0.65,      0.53,      0.39,      0.31,      0.45,      0.38,      0.61,      0.27,      0.26,      0.66,      0.42,      0.19,      0.30,      0.32,      0.27,      0.43,
 Okefenokee NWR,OKEF1, NH4f,     30.74,    -82.13,     48.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Okefenokee NWR,OKEF1,  ECf,     30.74,    -82.13,     48.00,      0.65,      0.53,      0.36,      0.36,      0.56,      0.31,      0.31,      0.26,      0.47,      0.38,      0.53,      0.51,      0.39,      0.22,      0.16,      0.12,      0.32,      0.20,      0.17,      0.10,      0.25,      0.23,      0.20,      0.25,
 Okefenokee NWR,OKEF1,  OCf,     30.74,    -82.13,     48.00,      2.76,      1.57,      1.43,      1.41,      2.43,      1.69,      1.53,      1.63,      2.15,      1.69,      2.04,      1.71,      2.48,      0.88,      0.80,      0.46,      1.91,      0.96,      0.85,      0.75,      1.44,      1.05,      1.12,      0.84,
 Okefenokee NWR,OKEF1, NO3f,     30.74,    -82.13,     48.00,      0.51,      0.50,      0.21,      0.27,      0.23,      0.28,      0.23,      0.14,      0.21,      0.17,      0.34,      0.34,      0.32,      0.27,      0.11,      0.15,      0.09,      0.15,      0.16,      0.08,      0.09,      0.08,      0.17,      0.25,
 Okefenokee NWR,OKEF1, SO4f,     30.74,    -82.13,     48.00,      2.44,      2.34,      2.40,      2.37,      4.62,      3.52,      4.80,      4.81,      6.21,      4.13,      2.79,      2.42,      1.24,      0.82,      0.73,      0.75,      1.44,      2.57,      4.51,      3.13,      5.02,      2.18,      2.22,      1.06,
       Old Town,OLTO1, NH4f,     44.93,    -68.65,     51.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Old Town,OLTO1,  ECf,     44.93,    -68.65,     51.00,      0.89,      0.86,      0.51,      0.45,      0.34,      0.61,      0.45,      0.40,      0.47,      0.55,      1.13,      0.99,      0.34,      0.46,      0.27,      0.22,      0.17,      0.44,      0.18,      0.17,      0.21,      0.41,      1.52,      0.79,
       Old Town,OLTO1,  OCf,     44.93,    -68.65,     51.00,      2.02,      2.06,      1.20,      1.05,      0.70,      3.30,      1.56,      1.38,      1.22,      1.12,      2.01,      2.51,      0.73,      0.95,      0.46,      0.57,      0.30,      4.55,      0.66,      0.70,      0.59,      1.13,      1.94,      1.71,
       Old Town,OLTO1, NO3f,     44.93,    -68.65,     51.00,      0.59,      0.54,      0.32,      0.27,      0.13,      0.24,      0.12,      0.16,      0.17,      0.21,      0.36,      0.77,      0.22,      0.34,      0.30,      0.18,      0.09,      0.14,      0.08,      0.08,      0.12,      0.20,      0.22,      0.84,
       Old Town,OLTO1, SO4f,     44.93,    -68.65,     51.00,      2.62,      2.16,      1.92,      1.99,      1.17,      3.04,      2.38,      2.28,      1.43,      1.99,      2.61,      2.32,      1.18,      0.85,      1.25,      0.88,      0.68,      2.30,      2.86,      1.63,      0.78,      2.10,      1.03,      1.84,
        Olympic,OLYM1, NH4f,     48.01,   -122.97,    599.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
        Olympic,OLYM1,  ECf,     48.01,   -122.97,    599.00,      0.13,      0.15,      0.12,      0.11,      0.19,      0.13,      0.12,      0.14,      0.12,      0.21,      0.13,      0.16,      0.06,      0.12,      0.07,      0.08,      0.16,      0.05,      0.05,      0.09,      0.06,      0.14,      0.09,      0.14,
        Olympic,OLYM1,  OCf,     48.01,   -122.97,    599.00,      0.52,      0.99,      0.84,      0.56,      0.83,      0.68,      0.68,      1.07,      0.70,      1.07,      0.57,      0.56,      0.22,      0.53,      0.51,      0.36,      0.74,      0.26,      0.29,      0.85,      0.50,      0.73,      0.31,      0.51,
        Olympic,OLYM1, NO3f,     48.01,   -122.97,    599.00,      0.25,      0.37,      0.24,      0.18,      0.37,      0.24,      0.26,      0.16,      0.32,      0.24,      0.15,      0.23,      0.12,      0.20,      0.21,      0.08,      0.24,      0.08,      0.13,      0.09,      0.15,      0.11,      0.16,      0.26,
        Olympic,OLYM1, SO4f,     48.01,   -122.97,    599.00,      0.40,      0.56,      0.54,      0.53,      0.95,      0.73,      0.92,      0.93,      0.89,      0.41,      0.32,      0.35,      0.23,      0.25,      0.38,      0.33,      0.58,      0.17,      0.35,      0.30,      0.31,      0.18,      0.26,      0.30,
          Omaha,OMAH1, NH4f,    429.00,      8.00,      8.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          Omaha,OMAH1,  ECf,    429.00,      8.00,      8.00,      0.32,      0.20,      0.26,      0.40,      0.19,      0.26,      0.35,      0.27,      0.37,      0.31,      0.29,      0.21,      0.22,      0.08,      0.17,      0.36,      0.13,      0.19,      0.12,      0.18,      0.23,      0.15,      0.21,      0.14,
          Omaha,OMAH1,  OCf,    429.00,      8.00,      8.00,      0.95,      0.87,      1.11,      1.62,      0.78,      1.05,      1.51,      1.35,      1.92,      1.07,      1.02,      0.66,      0.50,      0.28,      0.95,      1.81,      0.53,      0.77,      0.53,      0.78,      1.35,      0.52,      0.92,      0.52,
          Omaha,OMAH1, NO3f,    429.00,      8.00,      8.00,      5.76,      4.25,      3.21,      2.19,      0.94,      0.45,      0.38,      0.45,      0.66,      1.08,      1.24,      3.22,      5.46,      1.46,      2.11,      1.78,      0.61,      0.27,      0.13,      0.20,      0.64,      1.02,      0.87,      2.79,
          Omaha,OMAH1, SO4f,    429.00,      8.00,      8.00,      2.66,      2.25,      1.90,      2.38,      1.51,      2.22,      3.24,      2.60,      3.28,      1.67,      1.27,      1.38,      1.81,      1.34,      0.80,      1.29,      1.01,      2.18,      2.44,      2.16,      3.11,      1.16,      0.83,      0.54,
     Organ Pipe,ORPI1, NH4f,     31.95,   -112.80,    504.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Organ Pipe,ORPI1,  ECf,     31.95,   -112.80,    504.00,      0.15,      0.12,      0.10,      0.10,      0.12,      0.10,      0.11,      0.14,      0.08,      0.17,      0.18,      0.23,      0.09,      0.08,      0.09,      0.07,      0.07,      0.04,      0.04,      0.12,      0.05,      0.10,      0.07,      0.10,
     Organ Pipe,ORPI1,  OCf,     31.95,   -112.80,    504.00,      0.57,      0.53,      0.58,      0.64,      0.67,      0.61,      0.56,      0.35,      0.30,      0.51,      0.56,      0.56,      0.25,      0.22,      0.30,      0.26,      0.30,      0.24,      0.25,      0.20,      0.13,      0.24,      0.31,      0.26,
     Organ Pipe,ORPI1, NO3f,     31.95,   -112.80,    504.00,      0.33,      0.27,      0.25,      0.38,      0.41,      0.29,      0.24,      0.19,      0.22,      0.19,      0.11,      0.41,      0.33,      0.23,      0.14,      0.21,      0.17,      0.15,      0.05,      0.08,      0.12,      0.11,      0.05,      0.25,
     Organ Pipe,ORPI1, SO4f,     31.95,   -112.80,    504.00,      0.68,      0.74,      0.73,      1.20,      1.57,      1.63,      1.91,      2.16,      1.48,      1.40,      0.82,      0.59,      0.53,      0.42,      0.30,      0.55,      0.63,      0.52,      0.57,      0.77,      0.40,      0.65,      0.81,      0.24,
Pack Monadnock ,PACK1, NH4f,     42.86,    -71.88,    695.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Pack Monadnock ,PACK1,  ECf,     42.86,    -71.88,    695.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Pack Monadnock ,PACK1,  OCf,     42.86,    -71.88,    695.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Pack Monadnock ,PACK1, NO3f,     42.86,    -71.88,    695.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Pack Monadnock ,PACK1, SO4f,     42.86,    -71.88,    695.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Pasayten,PASA1, NH4f,     48.39,   -119.93,   1627.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Pasayten,PASA1,  ECf,     48.39,   -119.93,   1627.00,      0.05,      0.07,      0.05,      0.08,      0.10,      0.17,      0.06,      0.11,      0.05,      0.15,      0.04,      0.05,      0.06,      0.04,      0.03,      0.04,      0.06,      0.19,      0.02,      0.06,      0.05,      0.13,      0.05,      0.04,
       Pasayten,PASA1,  OCf,     48.39,   -119.93,   1627.00,      0.22,      0.42,      0.32,      0.46,      0.61,      0.95,      0.64,      0.98,      0.36,      0.96,      0.33,      0.19,      0.16,      0.21,      0.22,      0.40,      0.45,      0.84,      0.21,      0.37,      0.31,      1.03,      0.34,      0.15,
       Pasayten,PASA1, NO3f,     48.39,   -119.93,   1627.00,      0.08,      0.19,      0.15,      0.16,      0.14,      0.06,      0.09,      0.04,      0.05,      0.27,      0.14,      0.07,      0.07,      0.21,      0.17,      0.13,      0.15,      0.03,      0.06,      0.02,      0.03,      0.37,      0.31,      0.12,
       Pasayten,PASA1, SO4f,     48.39,   -119.93,   1627.00,      0.26,      0.26,      0.39,      0.64,      0.78,      0.31,      0.39,      0.27,      0.30,      0.20,      0.17,      0.20,      0.15,      0.06,      0.27,      0.42,      0.60,      0.09,      0.10,      0.08,      0.14,      0.14,      0.09,      0.15,
Petrified Fores,PEFO1, NH4f,     35.08,   -109.77,   1766.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Petrified Fores,PEFO1,  ECf,     35.08,   -109.77,   1766.00,      0.22,      0.19,      0.13,      0.19,      0.26,      0.64,      0.33,      0.26,      0.27,      0.28,      0.33,      0.30,      0.11,      0.09,      0.06,      0.10,      0.12,      1.02,      0.10,      0.07,      0.09,      0.13,      0.15,      0.16,
Petrified Fores,PEFO1,  OCf,     35.08,   -109.77,   1766.00,      0.40,      0.32,      0.28,      0.53,      0.65,      2.37,      1.25,      0.47,      0.55,      0.76,      0.79,      0.46,      0.20,      0.12,      0.12,      0.35,      0.35,      4.81,      0.75,      0.14,      0.27,      0.37,      0.45,      0.16,
Petrified Fores,PEFO1, NO3f,     35.08,   -109.77,   1766.00,      0.15,      0.11,      0.18,      0.21,      0.22,      0.43,      0.16,      0.11,      0.12,      0.10,      0.13,      0.13,      0.09,      0.07,      0.16,      0.10,      0.10,      0.54,      0.07,      0.05,      0.06,      0.04,      0.13,      0.09,
Petrified Fores,PEFO1, SO4f,     35.08,   -109.77,   1766.00,      0.34,      0.36,      0.47,      0.81,      0.94,      1.29,      0.89,      1.08,      1.17,      0.88,      0.86,      0.26,      0.20,      0.21,      0.10,      0.35,      0.30,      0.39,      0.29,      0.35,      0.54,      0.42,      0.85,      0.13,
     Petersburg,PETE1, NH4f,      0.00,      7.00,      7.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Petersburg,PETE1,  ECf,      0.00,      7.00,      7.00,      0.07,      0.05,      0.04,      0.07,      0.07,      0.08,      0.05,      0.15,      0.06,      0.05,      0.04,      0.04,      0.09,      0.04,      0.04,      0.06,      0.05,      0.07,      0.04,      0.09,      0.05,      0.05,      0.04,      0.03,
     Petersburg,PETE1,  OCf,      0.00,      7.00,      7.00,      0.18,      0.21,      0.14,      0.24,      0.46,      0.65,      0.33,      1.37,      0.35,      0.23,      0.15,      0.22,      0.21,      0.19,      0.11,      0.26,      0.30,      0.64,      0.17,      1.06,      0.40,      0.21,      0.20,      0.16,
     Petersburg,PETE1, NO3f,      0.00,      7.00,      7.00,      0.02,      0.02,      0.03,      0.03,      0.05,      0.08,      0.03,      0.04,      0.04,      0.01,      0.01,      0.01,      0.01,      0.02,      0.02,      0.02,      0.04,      0.08,      0.02,      0.02,      0.04,      0.01,      0.01,      0.01,
     Petersburg,PETE1, SO4f,      0.00,      7.00,      7.00,      0.15,      0.18,      0.36,      0.29,      0.47,      0.40,      0.29,      0.42,      0.30,      0.14,      0.10,      0.09,      0.13,      0.07,      0.47,      0.26,      0.25,      0.27,      0.21,      0.19,      0.13,      0.09,      0.08,      0.10,
        Phoenix,PHOE1, NH4f,     33.50,   -112.10,    342.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
        Phoenix,PHOE1,  ECf,     33.50,   -112.10,    342.00,      2.49,      1.07,      0.75,      0.74,      0.90,      0.72,      0.66,      0.61,      0.74,      1.21,      2.01,      3.61,      1.16,      0.86,      0.54,      0.47,      0.30,      0.41,      0.30,      0.23,      0.27,      0.40,      1.07,      1.69,
        Phoenix,PHOE1,  OCf,     33.50,   -112.10,    342.00,      5.67,      2.32,      1.91,      1.96,      2.38,      2.25,      2.22,      1.23,      1.61,      2.23,      3.93,      6.75,      2.63,      1.36,      0.84,      0.93,      0.63,      0.99,      0.70,      0.30,      0.38,      0.71,      1.84,      2.61,
        Phoenix,PHOE1, NO3f,     33.50,   -112.10,    342.00,      3.05,      1.74,      1.10,      0.50,      0.46,      0.53,      0.42,      0.43,      0.34,      0.49,      0.94,      3.41,      1.35,      1.54,      1.18,      0.30,      0.16,      0.18,      0.15,      0.43,      0.13,      0.36,      0.99,      1.90,
        Phoenix,PHOE1, SO4f,     33.50,   -112.10,    342.00,      0.85,      0.77,      0.83,      1.08,      1.37,      1.79,      1.54,      1.57,      1.42,      1.45,      1.05,      0.67,      0.49,      0.30,      0.33,      0.61,      0.42,      0.62,      0.43,      0.48,      0.42,      0.68,      0.79,      0.22,
Phoenix Colocat,PHOE5, NH4f,     33.50,   -112.10,    342.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Phoenix Colocat,PHOE5,  ECf,     33.50,   -112.10,    342.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Phoenix Colocat,PHOE5,  OCf,     33.50,   -112.10,    342.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Phoenix Colocat,PHOE5, NO3f,     33.50,   -112.10,    342.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Phoenix Colocat,PHOE5, SO4f,     33.50,   -112.10,    342.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   Pinnacles NM,PINN1, NH4f,     36.48,   -121.16,    302.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
